工作岗位,公司名称,公司规模,公司行业,融资阶段,公司福利,工资阶段,工作经验,学历要求,工作地点
数据分析师,新萌网络,150-500人,社交,不需要融资,"弹性工作,免费班车,年底双薪,带薪年假",10k-18k,1-3年,本科,上海
增长数据分析师,天眼查,150-500人,数据服务,不需要融资,"专项奖金,股票期权,带薪年假,定期体检",20k-30k,1-3年,本科,北京
数据分析师,恒大智慧科技有限公司,500-2000人,人工智能,不需要融资,,20k-40k,3-5年,本科,深圳
高级数据分析师,玄武科技,500-2000人,企业服务,上市公司,"绩效奖金,年底双薪,五险一金,带薪年假",15k-25k,5-10年,本科,广州
数据分析师,快看漫画,500-2000人,文娱丨内容,D轮及以上,"股票期权,年度体检,七险一金,带薪假期",20k-30k,3-5年,本科,北京
数据分析师,飞常准,500-2000人,移动互联网,不需要融资,"节日礼物,年度旅游,管理规范,五险一金",7k-14k,3-5年,本科,合肥
资深数据分析师,还呗-智能信贷领先者,500-2000人,金融,B轮,"股票期权,通讯津贴,交通补助,午餐补助",20k-40k,5-10年,本科,上海
健康科技中心--大数据分析师（算法）,泰康健投,2000人以上,"金融,医疗丨健康",不需要融资,"年底双薪,带薪年假,绩效奖金,年度旅游",20k-27k,5-10年,本科,北京
数据分析师,微拍堂,500-2000人,"移动互联网,电商",A轮,"岗位晋升,年度旅游,年底双薪,午餐补助",25k-35k,3-5年,大专,杭州
数据分析师,DataStory,150-500人,数据服务,B轮,"颜值高,双休日,高大上团建,带薪假",8k-15k,3-5年,本科,广州
资深数据分析师,乐元素游戏,500-2000人,"移动互联网,游戏",不需要融资,"技能培训,领导好,节日礼物",20k-35k,3-5年,硕士,北京
资深数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",15k-30k,不限,本科,北京
高级数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",15k-30k,3-5年,本科,北京
数据分析师NJ,通联数据,500-2000人,金融,不需要融资,"五险一金,通讯津贴,带薪年假,节日礼物",4k-6k,1-3年,本科,南京
数据分析师（股债基）NJ,通联数据,500-2000人,金融,不需要融资,"五险一金,通讯津贴,带薪年假,节日礼物",4k-8k,1-3年,本科,南京
数据分析师,云积互动,150-500人,"企业服务,移动互联网",天使轮,"带薪年假,年轻团队,股票期权,下午茶",10k-20k,3-5年,本科,杭州
腾讯视频数据分析师,腾讯,2000人以上,社交,上市公司,"免费班车,成长空间,年度旅游,岗位晋升",20k-40k,5-10年,本科,北京
数据分析师(JUJK1),小影APP,150-500人,"移动互联网,文娱丨内容",B轮,"带薪年假,股票期权,绩效奖金,弹性工作",12k-24k,1-3年,本科,杭州
数据分析师（商品方向）,立创商城,150-500人,"电商,硬件",A轮,"节日礼物,五险一金,水果、下午茶,带薪年假",15k-25k,3-5年,本科,深圳
数据分析师（股票方向）,通联数据,500-2000人,金融,不需要融资,"五险一金,通讯津贴,带薪年假,节日礼物",7k-14k,3-5年,本科,南京
数据分析师,排列科技,50-150人,"移动互联网,金融",A轮,"股票期权,带薪年假,绩效奖金,年底双薪",9k-18k,1-3年,本科,杭州
数据分析师,陕西雷风商贸有限公司,500-2000人,物流丨运输,天使轮,,4k-6k,不限,大专,西安
高级数据分析师,SAS,2000人以上,人工智能,不需要融资,,30k-50k,5-10年,硕士,上海
资深数据分析师 - 音乐事业部028,网易,2000人以上,电商,上市公司,"节日礼物,技能培训,免费班车,带薪年假",25k-45k,3-5年,本科,杭州
