downloadCount,displayName,gameId,gameType,introduction,publisherName,developer_name,shortDesc,current,change,score,cnt,bcnt,gameTag
25467310,波克捕鱼,62231550,1,做一个快乐的捕鱼能手,赛韵网络科技（上海）有限公司,赛韵网络,做一个快乐的捕鱼能手,74,35,7.1,418,519,"捕鱼,2D,卡通,街机,休闲益智"
3249794,抢滩登陆3D,62234300,1,称霸三栖 激战海陆空,天津英雄互娱科技有限公司,,称霸三栖 激战海陆空,75,1,5.7,284,308,"第一人称射击,防守,闯关,3D,写实,正版授权,射击游戏"
22890226,小米斗地主,62250992,1,一款全民性的斗地主游戏,小米游戏,,一款全民性的斗地主游戏,76,-3,7.8,1234,1520,"斗地主,PVP,社交,魔性,2D,卡通"
11747507,阳光摇钱树,62291372,1,一款可以合成就能赚红包的休闲游戏,休闲工作室,,一款可以合成就能赚红包的休闲游戏,77,3,4.3,15,16,"网赚,植物养成,模拟经营,放置挂机,红包,2D,卡通"
488354,锦绣未央,62290281,1,命运多舛的小姐进宫步步惊心,深圳市乐土信息技术有限公司,深圳乐土团队,命运多舛的小姐进宫步步惊心,78,21,7.3,22,23,"文字剧情,影视-小说,养成,2D,国风,宫廷,角色扮演"
5977723,全职枪神,62289278,1,挑战史上最棒的枪神,小米游戏,小米游戏,挑战史上最棒的枪神,79,0,,3,3,"打靶,合并,闯关,2.5D,写实,休闲益智"
12971856,激斗火柴人,62259573,1,“友尽”格斗类动作游戏,上海巨人统平网络科技有限公司,,“友尽”格斗类动作游戏,80,3,8.5,2109,2253,"格斗,躲避,魔性,2D,线条,火柴人,动作冒险"
22452725,斗罗大陆-周年庆送福利,62250079,1,周年狂欢  大陆神级武魂来袭！,安徽三七网络科技有限公司,,周年狂欢  大陆神级武魂来袭！,41,33,7.9,3989,5042,"MMORPG,卡牌,跨服,2D,国风,玄幻,正版授权,影视-小说,角色扮演"
46061319,明日之后,62239760,1,明日之后第二季，人类重返城市,杭州网易雷火科技有限公司,网易游戏,明日之后第二季，人类重返城市,42,-4,8.5,85215,97463,"MMORPG,开放世界,创造,3D,写实,沙盒,角色扮演"
3798755,重装上阵,62272258,1,网易首款创造性实时竞技手游,杭州网易雷火科技有限公司,网易游戏,网易首款创造性实时竞技手游,43,-4,8.4,836,932,"载具射击,创造,竞技,PVP,3D,高画质,机甲,沙盒,射击游戏"
45231703,快游戏,62265763,1,爆款H5小游戏，新人十八元福利，狂送,MiGameCenter,,爆款H5小游戏，新人十八元福利，狂送,44,0,7.4,927,994,"竖屏,2D"
